"year" "q7a" "q7b" "q7c" "q7d" "q102a" "q102b" "q102c" "q102d" "q102e" "q102f" "q102g" "q104" "q105" "q106" "q107" "gender" "age" "degree" "sei" "ops" "marital" "q135" "n"
1992 3 8 2 1 1 1 1 1 1 1 1 4 4 1 1 "Male" 41 "More than high school" 49 46 1 700 3
1992 4 4 1 1 1 8 1 8 1 1 8 4 3 4 3 "Female" 38 "Less than high school" 51 42 1 550 4
1992 4 3 1 4 1 1 1 1 1 1 1 4 4 8 3 "Female" 32 "High school" 38 44 0 200 2
1992 3 3 2 3 1 8 1 1 1 1 2 4 2 2 3 "Male" 37 "High school" 46 46 0 NA 1
1992 3 2 2 2 1 1 1 1 1 1 1 4 4 1 2 "Male" 29 "High school" 39 48 1 550 3
1992 4 3 1 1 1 1 1 1 1 2 1 4 4 4 4 "Female" 44 "Less than high school" 38 43 0 300 3
1992 3 3 2 2 1 1 1 1 1 1 1 3 1 1 1 "Female" 56 "Less than high school" 25 23 1 250 3
1992 2 3 2 1 1 1 1 1 1 1 1 8 1 1 4 "Female" 43 "High school" 51 49 1 470 4
1992 1 3 1 1 1 2 1 2 1 2 2 4 1 1 2 "Male" 60 "High school" 67 60 1 350 2
1992 2 4 3 1 1 1 1 8 1 8 8 2 1 1 2 "Female" 48 "Less than high school" 20 19 1 390 3
1992 3 3 1 1 1 1 1 1 1 1 1 4 4 1 1 "Female" 41 "Less than high school" 39 41 1 300 5
1992 3 2 3 2 1 1 1 1 1 1 1 4 1 4 2 "Female" 37 "High school" 37 24 1 300 4
1992 2 2 2 1 2 2 2 2 2 2 2 4 1 1 3 "Male" 65 "More than high school" 56 52 1 350 2
1992 4 3 1 1 1 8 1 2 1 2 2 4 1 1 4 "Female" 71 "High school" 53 53 0 165 1
1992 2 1 1 1 1 1 1 1 1 1 1 3 2 4 2 "Male" 75 "Less than high school" 29 32 0 300 1
1992 4 4 1 2 1 2 1 1 1 2 2 4 2 1 2 "Female" 68 "Less than high school" 43 32 1 170 5
1992 1 1 2 1 1 1 1 1 1 1 1 4 2 3 2 "Male" 49 "High school" 45 39 0 220 1
1992 2 3 2 2 1 1 1 2 1 2 1 4 1 2 2 "Female" 43 "High school" 43 44 1 400 3
1992 3 2 2 2 1 1 1 1 1 2 2 4 1 1 1 "Male" 23 "Less than high school" 29 31 0 750 4
1992 1 1 1 1 2 2 2 2 2 2 2 8 1 1 8 "Male" 82 "Less than high school" 27 20 1 240 2
1992 3 2 2 2 1 8 1 8 1 8 1 4 4 4 8 "Female" 39 "More than high school" 54 57 0 300 2
1992 2 4 4 3 1 1 1 1 1 1 1 4 1 1 3 "Male" 40 "More than high school" 66 57 1 300 4
1992 3 3 2 2 1 NA 1 2 8 2 2 3 1 3 2 "Female" 75 "High school" 43 49 0 180 1
1992 3 1 1 1 8 8 8 8 8 8 8 4 3 8 3 "Female" 70 "High school" 38 50 0 190 1
1992 2 3 2 2 1 1 1 1 1 1 1 4 1 4 2 "Female" 43 "More than high school" 66 57 0 150 2
1992 2 1 3 2 1 1 1 1 1 1 1 4 4 4 3 "Female" 69 "More than high school" 53 53 0 350 1
1992 4 3 1 2 1 1 1 1 1 1 1 4 3 1 1 "Female" 41 "More than high school" 30 37 1 130 4
1992 2 8 2 1 2 2 2 2 2 2 2 1 8 8 1 "Female" 77 "Less than high school" 45 37 0 125 1
1992 2 3 1 3 1 1 1 1 1 1 1 4 1 4 2 "Female" 39 "High school" 38 44 1 420 4
1992 3 2 2 2 1 1 1 1 1 1 1 3 2 1 2 "Male" 51 "Less than high school" 37 24 1 200 3
1992 2 3 2 2 1 1 1 1 1 1 1 4 2 4 2 "Male" 55 "Less than high school" 30 32 1 350 2
1992 2 4 2 3 1 1 1 1 1 1 1 3 2 4 8 "Female" 34 "More than high school" NA NA 0 NA 1
1992 2 3 2 2 1 1 1 1 1 1 1 4 3 2 2 "Female" 46 "Less than high school" 43 32 0 93 1
1992 3 3 2 2 1 1 1 1 1 1 1 3 3 2 2 "Female" 39 "More than high school" 56 46 0 620 1
1992 3 3 3 3 1 1 1 1 1 1 1 4 8 4 2 "Female" 48 "High school" 32 30 1 500 2
1992 3 2 2 1 1 1 1 1 1 1 1 4 3 1 2 "Male" 53 "High school" 26 32 1 550 7
1992 2 3 2 2 1 2 1 2 1 2 2 4 1 2 2 "Female" 31 "High school" 38 44 1 300 4
1992 3 2 2 2 1 2 1 2 1 2 2 1 1 1 2 "Female" 71 "Less than high school" 52 38 0 100 5
1992 3 3 2 2 1 1 1 1 1 1 1 4 3 4 2 "Female" 46 "High school" 51 45 0 245 1
1992 4 4 2 3 1 1 1 8 1 1 8 4 1 1 3 "Female" 45 "High school" 51 49 1 650 3
1992 3 3 2 3 8 2 1 8 1 2 2 2 1 1 2 "Male" 23 "High school" 34 43 0 500 5
1992 3 3 2 2 1 1 1 1 1 1 1 4 1 2 2 "Female" 41 "More than high school" 66 57 0 350 3
1992 2 8 1 2 1 2 1 2 1 2 2 4 3 8 2 "Male" 64 "High school" 40 40 1 250 2
1992 3 2 1 1 1 8 1 2 1 2 2 2 1 1 3 "Female" 62 "Less than high school" 43 32 1 250 2
1992 2 4 2 2 1 1 1 1 1 1 1 4 1 4 2 "Female" 55 "More than high school" 55 48 1 120 1
1992 2 3 1 3 1 1 1 1 1 1 1 3 3 3 3 "Male" 61 "More than high school" 77 64 1 800 2
1992 3 3 2 1 1 8 1 8 1 8 2 1 1 8 2 "Female" 61 "High school" 55 49 0 125 1
1992 3 2 2 1 1 2 1 1 1 1 1 4 1 1 1 "Female" 38 "Less than high school" 39 33 1 380 5
1992 2 2 3 1 1 1 1 1 1 1 1 4 1 1 1 "Male" 49 "Less than high school" 33 34 0 500 1
1992 3 3 2 1 1 2 1 2 1 2 1 4 2 4 2 "Male" 37 "High school" 59 49 1 220 3
1992 3 2 1 1 1 1 1 1 1 1 1 4 1 1 1 "Male" 24 "High school" 24 27 0 400 7
1992 4 2 1 2 1 1 1 1 1 1 1 4 1 4 2 "Female" 24 "More than high school" 38 44 1 360 3
1992 3 3 2 2 1 2 1 8 1 8 1 4 1 4 2 "Male" 43 "More than high school" 56 45 1 400 3
1992 4 3 2 2 1 1 1 1 1 1 1 4 2 4 1 "Female" 44 "Less than high school" 24 25 1 170 3
1992 1 3 2 1 1 1 1 1 1 1 1 4 3 3 2 "Male" 32 "Less than high school" 30 44 1 200 2
1992 2 3 3 3 1 2 8 2 8 2 8 3 1 1 2 "Female" 35 "High school" 43 32 1 320 6
1992 3 3 2 2 1 1 1 1 1 1 1 4 3 4 2 "Female" 41 "High school" 51 49 1 300 5
1992 2 2 1 1 1 2 1 1 1 1 2 3 1 1 2 "Female" 41 "Less than high school" 25 42 1 280 4
1992 3 2 2 2 8 2 2 2 1 8 2 4 1 1 2 "Male" 25 "Less than high school" 33 34 1 450 3
1992 3 2 2 1 1 2 1 2 1 8 2 8 1 1 1 "Male" 70 "Less than high school" 32 30 0 220 1
1992 3 2 2 2 1 2 1 8 1 2 2 4 3 3 2 "Male" 39 "High school" 30 31 0 120 1
1992 3 3 2 2 8 2 8 2 8 2 2 3 1 1 1 "Male" 51 "Less than high school" 34 33 1 220 2
1992 2 2 1 1 1 2 1 2 1 2 2 3 1 1 2 "Male" 57 "Less than high school" 23 38 0 300 1
1992 4 2 2 1 2 2 2 2 2 2 2 2 1 1 2 "Male" 51 "Less than high school" 23 38 1 300 7
1992 1 3 2 2 1 1 1 1 1 2 2 4 1 2 3 "Female" 21 "More than high school" NA NA 0 200 8
1992 1 2 2 1 2 2 2 2 2 2 2 3 1 4 1 "Female" 40 "High school" 19 17 0 100 2
1992 1 1 3 2 1 1 1 1 1 2 2 4 1 1 1 "Female" 37 "More than high school" 66 57 1 150 2
1992 2 3 2 2 1 2 1 2 2 2 2 1 1 1 3 "Male" 64 "Less than high school" 28 33 0 200 1
1992 3 3 1 1 1 1 1 1 1 1 1 3 1 1 3 "Female" 36 "High school" 38 44 1 300 5
1992 3 2 1 1 8 8 8 2 1 2 8 8 8 1 3 "Female" 57 "High school" 51 49 0 160 1
1992 2 3 3 2 2 2 2 2 2 2 2 2 1 1 3 "Male" 25 "More than high school" NA NA 1 180 2
1992 3 2 2 2 1 2 1 2 1 2 2 4 1 1 2 "Male" 33 "High school" 45 37 1 350 6
1992 3 8 2 1 2 8 8 NA NA NA NA 8 1 8 2 "Male" 85 "Less than high school" 32 25 0 200 1
1992 3 2 2 2 1 1 1 1 1 1 1 4 1 1 1 "Male" 32 "High school" 38 36 0 170 1
1992 2 3 1 1 2 1 1 2 1 2 2 4 1 1 1 "Male" 40 "Less than high school" 30 39 1 180 6
1992 3 2 1 1 1 2 1 1 1 2 1 3 2 1 1 "Male" 30 "Less than high school" 50 40 1 370 4
1992 1 4 4 4 1 1 1 1 1 1 1 4 3 3 1 "Female" 41 "More than high school" 73 63 1 700 4
1992 2 3 3 2 1 2 1 2 1 2 2 3 1 1 2 "Female" 28 "High school" 52 38 1 300 4
1992 1 3 4 2 1 1 1 1 1 8 2 4 3 1 1 "Female" 40 "High school" 16 22 0 120 2
1992 3 3 2 1 1 8 1 2 1 2 2 1 1 1 3 "Male" 54 "Less than high school" 23 38 1 150 9
1992 1 8 2 2 8 8 8 8 8 8 8 8 8 1 2 "Male" 42 "Less than high school" 29 34 0 NA 3
1992 3 2 1 1 1 2 1 2 8 2 2 1 2 1 1 "Male" 43 "Less than high school" 23 40 1 600 6
1992 3 3 3 2 1 2 1 2 2 2 2 4 3 1 1 "Male" 34 "High school" 23 38 1 1200 7
1992 2 3 3 1 2 2 2 2 2 2 2 4 1 4 2 "Female" 30 "Less than high school" NA NA 0 100 3
1992 4 3 1 2 1 2 1 2 2 2 2 3 1 3 1 "Male" 49 "Less than high school" 23 38 1 300 4
1992 2 3 3 2 1 2 1 2 1 2 2 4 1 2 2 "Female" 36 "More than high school" 45 39 1 300 4
1992 3 3 1 1 1 2 1 1 1 8 2 4 1 1 3 "Male" 31 "More than high school" 46 46 1 210 4
1992 3 2 3 2 8 2 1 1 1 2 2 4 1 1 2 "Male" 28 "Less than high school" 27 20 1 800 9
1992 8 8 8 8 8 8 8 8 8 8 8 1 2 8 2 "Female" 63 "Less than high school" NA NA 1 100 2
1992 3 3 3 2 1 2 1 1 1 2 2 1 1 1 8 "Male" 46 "Less than high school" 23 38 1 200 5
1992 3 2 2 2 2 2 2 2 8 2 2 1 1 1 2 "Female" 74 "Less than high school" 23 38 1 226 2
1992 2 2 2 3 1 1 1 1 1 8 8 3 1 1 2 "Male" 33 "High school" 27 20 1 240 6
1992 3 3 1 1 1 2 1 2 1 2 2 4 3 1 3 "Male" 28 "High school" 55 42 1 190 3
1992 8 2 3 1 1 1 1 1 1 2 2 4 2 4 2 "Male" 69 "Less than high school" 31 27 1 200 2
1992 3 3 2 2 2 1 8 2 8 2 2 2 1 8 3 "Female" 20 "Less than high school" 32 25 0 150 5
1992 2 8 2 2 1 2 1 1 1 1 2 4 2 8 8 "Female" 39 "High school" 37 24 1 600 6
1992 2 3 3 8 1 8 8 2 8 8 2 3 2 3 4 "Female" 21 "High school" NA NA 0 800 5
1992 3 3 1 1 1 1 1 1 1 1 1 4 3 8 2 "Female" 41 "More than high school" 66 57 1 350 3
1992 8 8 2 1 8 8 8 8 8 8 8 8 8 4 8 "Male" 34 "High school" 34 21 1 600 4
1992 3 2 2 1 1 1 1 1 1 2 8 8 8 1 2 "Female" 62 "Less than high school" 16 21 1 250 2
1992 3 3 2 1 1 2 1 1 1 2 2 3 1 8 2 "Female" 49 "More than high school" 66 57 1 500 2
1992 1 2 3 2 1 2 8 2 8 2 2 3 1 8 2 "Male" 36 "Less than high school" 32 29 1 330 7
1992 3 2 2 1 1 1 1 1 1 1 1 4 2 4 3 "Male" 50 "More than high school" 71 66 1 420 4
1992 2 3 2 2 1 1 1 1 1 1 1 4 3 1 2 "Male" 39 "Less than high school" 32 28 1 600 4
1992 1 2 1 1 1 8 8 8 8 2 2 1 1 1 3 "Female" 57 "Less than high school" 32 28 1 180 2
1992 3 3 1 2 1 1 1 1 1 1 1 4 3 8 3 "Male" 36 "High school" 34 33 1 300 5
1992 1 1 3 3 1 1 1 1 1 2 2 4 2 4 3 "Male" 39 "High school" 26 34 1 450 4
1992 3 3 2 2 1 1 1 1 1 1 1 4 1 1 3 "Female" 37 "High school" 32 28 1 280 5
1992 4 1 1 1 1 8 1 1 1 1 1 4 4 1 3 "Male" 55 "High school" 29 31 1 1000 2
1992 2 3 3 2 8 2 1 2 1 2 2 8 2 1 2 "Female" 41 "High school" 43 44 1 500 6
1992 4 8 4 4 1 8 1 8 1 8 2 3 1 1 1 "Female" 54 "Less than high school" 27 20 1 550 5
1992 3 3 3 2 1 1 1 8 8 8 1 4 2 2 3 "Female" 26 "High school" 43 32 1 480 6
1992 2 2 1 2 1 8 1 8 1 1 2 3 1 8 2 "Male" 28 "Less than high school" 23 40 0 100 1
1992 3 8 2 2 1 8 1 8 8 2 2 8 2 2 2 "Female" 53 "Less than high school" 23 38 1 250 3
1992 1 2 1 1 1 2 1 2 2 2 2 4 1 4 2 "Female" 51 "Less than high school" 27 35 0 380 5
1992 3 3 2 1 1 1 1 1 1 1 1 4 4 1 1 "Male" 45 "Less than high school" 40 40 1 290 4
1992 4 3 2 2 1 2 1 2 1 2 2 1 1 1 4 "Male" 33 "Less than high school" 29 31 1 NA 5
1992 4 2 1 1 2 2 2 2 2 2 2 1 1 1 2 "Male" 66 "Less than high school" 23 38 0 240 7
1992 3 2 2 2 1 1 1 1 1 1 1 4 1 1 1 "Female" 54 "Less than high school" 16 21 0 270 3
1992 2 2 1 3 1 1 1 1 1 8 1 4 3 4 2 "Female" 31 "High school" 43 32 1 250 6
1992 4 3 1 1 1 1 1 1 1 1 1 4 2 2 2 "Male" 32 "Less than high school" 34 43 0 900 5
1992 8 4 8 8 1 8 1 8 1 8 8 4 3 8 8 "Female" 40 "More than high school" 77 78 1 350 3
1992 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Female" 73 "Less than high school" 51 49 0 89 1
1992 3 3 2 8 1 2 1 2 1 2 2 3 8 8 4 "Female" 40 "High school" 29 32 1 600 4
1992 4 8 2 2 1 8 1 8 1 2 2 4 8 3 4 "Male" 18 "Less than high school" NA NA 0 280 6
1992 8 8 2 8 NA NA NA NA NA NA NA NA NA NA NA "Male" 81 "More than high school" 67 66 1 400 2
1992 8 8 8 8 1 1 1 2 1 2 2 3 2 3 4 "Male" 19 "Less than high school" NA NA 0 270 2
1992 3 3 2 8 1 8 1 8 1 2 1 8 8 8 8 "Female" 25 "Less than high school" 34 21 0 100 1
1992 1 1 1 1 1 1 1 1 1 1 1 4 2 4 4 "Male" 35 "Less than high school" 29 38 1 100 4
1992 2 3 2 2 1 2 1 2 8 2 2 2 1 1 2 "Female" 26 "High school" 43 32 0 500 5
1992 2 3 3 2 1 8 1 8 1 8 8 4 8 1 1 "Male" 29 "High school" NA NA 1 100 3
1992 2 1 2 2 1 1 1 1 1 1 1 4 1 1 2 "Female" 44 "High school" 34 21 1 400 3
1992 3 2 1 1 1 2 1 2 1 2 2 4 2 4 4 "Male" 35 "Less than high school" 30 34 1 800 9
1992 3 8 2 2 2 2 1 1 1 2 2 2 1 2 4 "Male" 40 "Less than high school" 30 44 0 220 3
1992 2 2 4 2 2 1 1 2 2 2 2 4 3 3 2 "Female" 31 "High school" 43 32 1 470 9
1992 4 2 1 1 8 2 1 8 1 2 2 4 1 1 2 "Female" 73 "Less than high school" NA NA 1 300 4
1992 3 3 2 3 1 2 1 2 1 2 2 2 1 1 3 "Male" 79 "High school" 51 49 1 500 3
1992 3 2 1 1 2 2 2 2 2 2 2 1 1 1 2 "Male" 62 "High school" 50 49 1 310 2
1992 4 3 2 1 1 8 1 2 1 2 8 4 1 8 4 "Male" 38 "Less than high school" 20 18 1 290 3
1992 2 1 3 1 1 1 1 1 1 2 2 4 8 1 3 "Male" 39 "More than high school" 68 65 1 430 3
1992 2 3 3 3 1 1 1 1 1 1 1 3 2 3 2 "Male" 31 "High school" 56 46 1 1100 5
1992 2 3 3 3 1 1 1 1 1 2 2 4 8 4 2 "Female" 26 "High school" 25 42 1 180 2
1992 2 3 3 3 1 1 1 1 1 1 1 4 3 3 3 "Male" 43 "More than high school" 67 66 1 270 3
1992 8 2 2 1 8 2 8 8 1 8 2 1 1 1 1 "Male" 72 "Less than high school" 29 34 1 200 10
1992 2 8 1 1 8 8 8 8 8 8 8 8 8 1 2 "Male" 54 "Less than high school" 34 33 1 250 3
1992 2 3 3 3 1 1 1 1 1 1 1 4 8 8 2 "Female" 26 "More than high school" 60 51 0 500 2
1992 2 2 1 1 8 2 8 2 8 8 2 1 1 1 1 "Female" 79 "Less than high school" 34 48 0 120 1
1992 1 4 4 4 1 1 1 1 1 1 1 4 4 4 1 "Female" 27 "More than high school" 56 46 1 1000 3
1992 2 3 3 3 1 1 1 1 1 2 1 4 1 3 3 "Female" 32 "Less than high school" 30 24 1 410 4
1992 2 3 2 1 1 1 1 1 1 1 1 4 1 2 3 "Female" 46 "High school" 51 49 1 600 6
1992 2 3 2 2 1 1 1 1 1 2 2 4 1 3 2 "Male" 23 "High school" 33 40 0 400 4
1992 1 4 3 2 1 2 1 2 1 1 2 4 1 2 2 "Female" 20 "High school" 51 36 0 400 4
1992 2 2 1 1 2 2 2 2 2 2 2 4 2 1 2 "Female" 35 "More than high school" 66 57 1 340 5
1992 2 3 2 3 1 1 1 1 1 1 1 4 2 3 2 "Male" 40 "More than high school" 49 46 1 650 5
1992 3 3 1 1 1 1 1 1 1 NA 2 4 3 4 3 "Female" 46 "High school" NA NA 1 250 3
1992 4 3 1 1 8 2 8 2 2 2 2 3 1 1 2 "Female" 67 "Less than high school" NA NA 1 220 3
1992 2 4 1 4 1 2 1 2 1 2 2 4 1 3 2 "Female" 21 "High school" NA NA 0 300 4
1992 3 2 2 1 1 2 1 2 1 2 2 4 3 1 2 "Female" 37 "High school" 53 34 1 250 4
1992 3 2 2 2 1 2 1 2 1 2 2 4 1 1 3 "Male" 54 "High school" 38 50 1 230 3
1992 3 4 3 2 1 1 1 1 1 1 1 4 1 4 1 "Male" 38 "Less than high school" 32 29 1 400 5
1992 3 4 2 1 1 2 1 1 1 2 2 4 1 1 1 "Male" 18 "Less than high school" NA NA 0 260 3
1992 3 1 1 2 1 2 1 2 1 2 2 4 1 1 2 "Male" 67 "High school" 55 49 1 380 2
1992 3 2 2 2 1 2 1 2 1 1 2 3 1 1 1 "Male" 67 "Less than high school" 33 29 1 390 3
1992 1 3 3 3 1 1 1 1 1 1 1 4 2 4 3 "Male" 28 "More than high school" 88 78 1 750 4
1992 1 4 2 2 1 2 1 2 1 2 2 3 2 1 3 "Female" 27 "High school" 43 49 1 500 5
1992 2 3 2 3 1 1 1 1 1 1 1 4 2 4 2 "Female" 30 "More than high school" 38 50 1 250 4
1992 3 3 2 2 1 2 1 1 1 2 2 4 1 1 2 "Female" 32 "Less than high school" 30 34 1 150 3
1992 3 2 2 2 2 2 2 2 2 2 2 3 1 1 1 "Female" 53 "High school" 50 49 0 200 2
1992 3 8 8 8 8 8 8 8 8 8 8 8 8 8 8 "Female" 77 "Less than high school" 45 40 0 118 1
1992 4 2 8 2 1 1 1 1 1 2 2 4 1 1 1 "Female" 24 "Less than high school" 32 25 1 145 5
1992 1 1 1 1 8 8 8 8 8 8 8 1 1 1 3 "Female" 70 "Less than high school" 43 32 0 130 2
1992 1 1 2 1 1 1 1 1 1 2 1 4 4 1 3 "Male" 49 "Less than high school" 34 32 1 180 3
1992 2 3 2 1 1 1 1 1 1 1 1 4 1 1 1 "Male" 32 "More than high school" 29 34 1 250 2
1992 2 3 2 1 1 2 1 2 1 1 2 4 3 1 2 "Male" 35 "More than high school" 43 32 1 300 4
1992 1 1 1 1 1 8 1 1 1 2 2 4 1 4 4 "Female" 36 "Less than high school" 52 38 1 220 5
1992 4 3 1 2 1 1 1 8 1 8 1 4 1 1 4 "Male" 49 "Less than high school" 34 33 1 91 4
1992 3 3 3 3 8 8 8 8 8 8 8 8 1 8 3 "Male" 21 "Less than high school" 29 31 0 350 4
1992 3 2 1 2 1 1 1 1 1 2 1 4 1 1 2 "Female" 25 "Less than high school" 32 25 1 450 4
1992 3 8 2 1 1 8 1 8 1 8 8 3 1 1 3 "Female" 26 "Less than high school" 43 32 1 450 5
1992 2 3 1 1 8 8 1 2 2 2 8 8 1 1 3 "Female" 37 "Less than high school" 23 38 1 400 8
1992 2 3 3 3 1 8 1 8 8 8 8 4 3 1 2 "Male" 60 "Less than high school" 26 31 1 180 3
1992 3 2 2 2 1 1 1 1 1 1 1 4 3 4 3 "Female" 52 "Less than high school" 23 38 1 460 5
1992 3 2 2 2 2 2 1 2 2 2 2 4 1 1 3 "Male" 25 "Less than high school" 26 31 1 120 5
1992 3 2 2 2 1 1 1 1 1 1 2 4 3 1 3 "Male" 49 "Less than high school" 26 31 1 70 6
1992 2 2 2 2 1 1 1 8 1 8 8 4 2 1 2 "Female" 74 "Less than high school" NA NA 0 110 1
1992 3 2 2 2 1 8 1 1 1 2 2 4 2 1 3 "Female" 41 "Less than high school" NA NA 1 80 5
1992 1 1 1 2 1 1 1 1 1 2 2 4 2 1 4 "Male" 61 "Less than high school" 57 49 1 300 2
1992 3 8 3 1 1 8 1 8 8 8 1 4 8 1 2 "Male" 20 "Less than high school" 31 33 0 350 4
1992 3 4 1 2 1 1 1 1 1 1 1 4 4 8 1 "Female" 39 "Less than high school" 30 31 1 400 4
1992 2 2 1 1 1 1 1 1 1 1 1 4 3 4 1 "Male" 35 "Less than high school" 30 31 1 240 4
1992 3 3 1 2 1 8 1 1 1 2 2 3 1 4 2 "Female" 36 "High school" 32 28 1 280 5
1992 3 2 2 1 1 2 1 8 1 2 2 4 1 1 2 "Male" 40 "High school" 54 46 1 300 4
1992 2 1 2 2 1 1 1 1 1 2 2 4 1 1 3 "Male" 40 "Less than high school" 38 36 1 700 4
1992 3 8 2 1 1 2 1 8 8 2 2 3 1 1 3 "Female" 62 "Less than high school" 16 23 1 200 2
1992 8 8 2 1 2 8 1 8 2 2 2 1 1 1 2 "Female" 81 "Less than high school" 30 31 0 160 2
1992 3 3 2 2 2 2 2 2 2 2 2 2 1 1 3 "Female" 22 "More than high school" NA NA 1 400 4
1992 3 4 3 3 1 1 1 1 1 1 1 4 3 4 4 "Female" 40 "More than high school" 66 57 1 270 3
1992 2 3 3 2 8 8 1 8 8 8 8 4 2 1 3 "Male" 55 "More than high school" 66 57 1 400 6
1992 3 3 2 1 1 2 1 2 1 2 2 4 1 1 3 "Male" 32 "Less than high school" 26 32 1 200 4
1992 3 2 2 2 1 1 1 1 1 1 1 4 1 4 1 "Female" 43 "High school" 54 49 1 310 4
1992 1 4 3 3 1 1 1 1 1 1 1 4 2 1 1 "Female" 42 "More than high school" 88 78 0 270 2
1992 3 3 2 2 1 8 1 2 1 8 8 3 8 1 2 "Female" 83 "Less than high school" NA NA 0 80 1
1992 3 3 2 2 8 8 8 8 8 8 8 8 8 1 2 "Female" 75 "Less than high school" 23 38 0 80 1
1992 4 3 2 2 8 1 1 1 1 1 1 4 8 2 2 "Male" 66 "Less than high school" 23 38 1 150 2
1992 3 3 2 2 1 1 1 1 1 1 1 4 1 1 3 "Male" 37 "Less than high school" 23 38 1 130 4
1992 3 2 2 2 1 1 1 1 1 2 2 4 NA 4 2 "Female" 54 "Less than high school" 23 38 1 200 2
1992 3 3 2 2 1 1 1 1 1 1 1 4 4 8 2 "Male" 60 "Less than high school" 23 40 1 160 2
